FL_DATE,OP_CARRIER,FLL,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,ACTUAL_ELAPSED_TIME,DISTANCE
1/1/2018,B6,ORD,1100,1138,38,1432,21,354,2381
1/1/2018,B6,ATL,1846,1910,24,2002,12,52,231
1/1/2018,B6,MSP,1845,1843,-2,1940,-11,57,231
1/1/2018,B6,MSY,1407,1359,-8,1559,25,180,793
1/1/2018,B6,DFW,1615,1644,29,2012,40,148,793
1/1/2018,B6,MCO,1638,1657,19,1846,17,109,612
1/1/2018,B6,OAK,535,528,-7,708,10,100,264
1/1/2018,B6,LAX,900,1052,112,1454,150,422,2446
1/1/2018,B6,OAK,1335,1600,145,6,137,306,2446
1/1/2018,B6,OAK,800,819,19,1126,34,187,1185
1/1/2018,B6,DTW,650,656,6,937,4,161,925
1/1/2018,B6,EWR,1940,1944,4,2252,-16,368,2496
1/1/2018,B6,FLL,630,622,-8,926,28,184,950
1/1/2018,B6,FLL,938,1001,23,1328,35,207,950
1/1/2018,B6,EWR,1507,1639,92,1935,95,176,1069
1/1/2018,B6,FLL,956,958,2,1315,6,197,1065
1/1/2018,B6,PIT,1650,1725,35,2046,42,201,1068
1/1/2018,B6,RSW,732,725,-7,1043,-7,378,2465
1/1/2018,B6,MCO,1035,1043,8,1212,-6,89,541
1/1/2018,B6,CLE,755,758,3,1009,11,131,541
1/1/2018,B6,FLL,2035,2137,62,113,75,216,1197
1/1/2018,B6,ATL,800,752,-8,1057,-4,185,1197
1/1/2018,B6,ATL,845,932,47,1245,29,373,2475
1/1/2018,B6,TPA,830,851,21,1718,29,327,2475
1/1/2018,B6,FLL,2011,2007,-4,2328,9,201,1005
1/1/2018,B6,PIT,822,814,-8,1052,-3,158,1005
1/1/2018,B6,BDL,1700,1817,77,2120,84,183,937
1/1/2018,B6,MCO,1131,1129,-2,1209,-14,100,588
1/1/2018,B6,ATL,807,808,1,1047,-2,99,588
1/1/2018,B6,ATL,530,524,-6,655,-3,91,266
1/1/2018,B6,BWI,2246,2321,35,39,38,78,266
1/1/2018,B6,BWI,2109,2303,114,131,107,148,1050
1/1/2018,B6,DEN,720,750,30,1041,35,171,1023
1/1/2018,B6,LAS,600,553,-7,708,-14,75,353
1/1/2018,B6,LAS,1140,1131,-9,1245,-16,74,353
1/1/2018,B6,LAX,932,1104,92,1439,102,215,1121
1/1/2018,B6,ORD,1100,1205,65,1447,56,162,1121
1/1/2018,B6,SAN,600,550,-10,703,-21,73,399
1/1/2018,B6,ATL,819,914,55,1052,51,98,399
1/1/2018,B6,DTW,2058,2216,78,331,93,255,1674
1/1/2018,B6,DTW,435,434,-1,733,-9,239,1674
1/1/2018,B6,MSY,1830,1833,3,2124,-31,351,2422
1/1/2018,B6,FLL,2251,2241,-10,741,42,360,2422
1/1/2018,B6,TPA,1014,1037,23,1154,19,77,387
1/1/2018,B6,FLL,806,843,37,957,23,74,387
1/1/2018,B6,TPA,525,519,-6,842,-13,203,1237
1/1/2018,B6,FLL,606,626,20,906,7,160,1076
1/1/2018,B6,MSP,800,843,43,1329,39,226,1666
1/1/2018,B6,ATL,1753,1821,28,2202,36,401,2584
1/1/2018,B6,FLL,2238,2305,27,721,20,316,2584
1/1/2018,B6,FLL,906,856,-10,955,-16,59,231
1/1/2018,B6,DTW,1051,1049,-2,1151,-7,62,231
1/1/2018,B6,RSW,1130,1134,4,1556,6,202,1428
1/1/2018,B6,LAS,1740,1807,27,2129,45,202,944
1/1/2018,B6,BOS,2145,2228,43,37,28,129,944
1/1/2018,B6,FLL,750,837,47,1004,52,87,264
1/1/2018,B6,EWR,700,831,91,1153,68,382,2611
1/1/2018,B6,LAS,600,611,11,1419,0,308,2611
1/1/2018,B6,MSP,600,743,103,1047,116,184,944
1/1/2018,B6,ORD,750,746,-4,907,-9,81,399
1/1/2018,B6,BOS,1450,1547,57,1810,49,143,925
1/1/2018,B6,FLL,1536,1535,-1,1815,0,160,925
1/1/2018,B6,MSY,1629,1833,124,2152,133,199,950
1/1/2018,B6,FLL,1700,1754,54,2027,27,153,1069
1/1/2018,B6,IAH,1206,1312,66,1648,96,216,1065
1/1/2018,B6,MCO,835,926,51,1218,52,172,1065
1/1/2018,B6,RSW,1056,1058,2,1206,-4,68,209
1/1/2018,B6,DTW,1941,2004,23,2118,21,74,187
1/1/2018,B6,ORD,550,713,83,828,91,75,187
